"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"824","12/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232231"", ""K232231"")","QP-Brain","Quibim S.L.","Radiology","QIH"
"825","12/13/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232237"", ""K232237"")","Tyto Insights for Wheeze Detection","Tyto Care Ltd.","Anesthesiology","PHZ"
"826","12/14/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231570"", ""K231570"")","StrokeViewer Perfusion","NICo-Lab B.V.","Radiology","LLZ"
"827","12/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230751"", ""K230751"")","EW10-EC02 Endoscopy Support Program","FUJIFILM Corporation","Gastroenterology-Urology","QNP"
"828","12/15/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232384"", ""K232384"")","Videa Dental Assist","VideaHealth, Inc.","Radiology","MYN"
"829","12/18/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231587"", ""K231587"")","MAGNETOM Cima.X","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"830","12/18/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231929"", ""K231929"")","iQ-solutions","Sydney Neuroimaging Analysis Centre Pty Ltd","Radiology","QIH"
"831","12/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K230850"", ""K230850"")","United Orthopedic Knee Patient Specific Instrumentation","Enhatch, Inc.","Orthopedic","OOG"
"832","12/20/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233176"", ""K233176"")","uOmnispace.MI","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","LLZ"
"833","12/21/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233112"", ""K233112"")","HM70 EVO Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"834","12/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231805"", ""K231805"")","qXR-LN","Qure.ai Technologies","Radiology","MYN"
"835","12/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232479"", ""K232479"")","ART-Plan","TheraPanacea","Radiology","MUJ"
"836","12/22/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232535"", ""K232535"")","MAGNETOM Sola; MAGNETOM Altea","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"837","12/26/2023","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231130"", ""K231130"")","TumorSight Viz","SimBioSys, Inc.","Radiology","QIH"
"838","01/03/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231779"", ""K231779"")","REMI AI Discrete Detection Module","Epitel, Inc.","Neurology","OMB"
"839","01/04/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232808"", ""K232808"")","Butterfly iQ3 Ultrasound System","Butterfly Network, Inc.","Radiology","IYN"
"840","01/05/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231917"", ""K231917"")","VEA Align","EOS imaging","Radiology","QIH"
"841","01/07/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231068"", ""K231068"")","autoSCORE","Holberg EEG AS","Neurology","OMB"
"842","01/08/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231324"", ""K231324"")","DASI Dimensions (V1.0)","DASI Simulations","Radiology","QIH"
"843","01/08/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232412"", ""K232412"")","LungQ v3.0.0","Thirona BV","Radiology","JAK"
"844","01/11/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232250"", ""K232250"")","SurgiCount+ System","Stryker Instruments","General and Plastic Surgery","PBZ"
"845","01/12/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233677"", ""K233677"")","Biograph VK10","Siemens Medical Solutions USA, Inc.","Radiology","KPS"
"846","01/12/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233964"", ""K233964"")","GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US)","Cosmo Artificial Intelligence - AI Ltd","Gastroenterology-Urology","QNP"
"847","01/13/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233216"", ""K233216"")","CLEWICU System","Clew Medical Ltd.","Cardiovascular","QNL"
"848","01/16/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233512"", ""K233512"")","Rapid (6.0)","iSchemaView, Inc.","Radiology","QIH"
"849","01/17/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231871"", ""K231871"")","Radify Triage","Envisionit DeepAI Ltd","Radiology","QFM"
"850","01/18/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232698"", ""K232698"")","NemoScan","Software Nemotec S.L.","Radiology","QIH"
"851","01/19/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232156"", ""K232156"")","Rapid ASPECTS (v3)","iSchemaView, Inc.","Radiology","POK"
"852","01/24/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233195"", ""K233195"")","Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System","Canon Medical Systems Corporation","Radiology","IYN"
"853","01/31/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231396"", ""K231396"")","CEPHX- Cephalometric Analysis Software","Orca Dental AI LTD","Radiology","LLZ"
"854","02/05/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232363"", ""K232363"")","Viz HDS, Viz Volume Plus, Viz ICH+","Viz.ai, Inc.","Radiology","QIH"
"855","02/08/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233080"", ""K233080"")","HealthFLD","Nano-X AI Ltd.","Radiology","JAK"
"856","02/09/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231355"", ""K231355"")","Aurora","EnsoData","Anesthesiology","MNR"
"857","02/13/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231855"", ""K231855"")","QOCA image Smart RT Contouring System","Quanta Computer Inc.","Radiology","QKB"
"858","02/13/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233788"", ""K233788"")","EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System","Philips Ultrasound LLC","Radiology","IYN"
"859","02/15/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232915"", ""K232915"")","EpiMonitor","Empatica Srl","Neurology","POS"
"860","02/21/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232148"", ""K232148"")","X-Guide Surgical Navigation System","X-Nav Technologies, LLC","Dental","QRY"
"861","02/22/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233749"", ""K233749"")","Revolution Ascend Sliding","GE Hangwei Medical Systems Co., Ltd.","Radiology","JAK"
"862","02/23/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233590"", ""K233590"")","Overjet Charting Assist","Overjet, Inc","Radiology","QIH"
"863","02/28/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232613"", ""K232613"")","CT Cardiomegaly","Innolitics, LLC","Radiology","QIH"
"864","02/29/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231683"", ""K231683"")","inHEART Models","inHEART, SAS","Radiology","QIH"
"865","02/29/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232765"", ""K232765"")","MAGNETOM Cima.X Fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"866","03/01/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231690"", ""K231690"")","iCAS-LV","HighRAD Ltd.","Radiology","QIH"
"867","03/01/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233030"", ""K233030"")","BoneMRI","MRIguidance B.V","Radiology","QIH"
"868","03/04/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233738"", ""K233738"")","Overjet Caries Assist-Pediatric","Overjet, Inc","Radiology","MYN"
"869","03/06/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231677"", ""K231677"")","EdgeFlow UH10","Edgecare Inc.","Radiology","IYO"
"870","03/08/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233438"", ""K233438"")","SleepStageML","Beacon Biosignals, Inc.","Neurology","OLZ"
"871","03/11/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232140"", ""K232140"")","OTS Hip","Ortoma AB","Orthopedic","OLO"
"872","03/13/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233968"", ""K233968"")","CINA-iPE","Avicenna.AI","Radiology","QAS"
"873","03/15/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233342"", ""K233342"")","CINA-ASPECTS","Avicenna.AI","Radiology","POK"
"874","03/20/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K234047"", ""K234047"")","Automatic Registration","Brainlab AG","Orthopedic","OLO"
"875","03/21/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233753"", ""K233753"")","AI-Rad Companion (Pulmonary)","Siemens Healthcare GmbH","Radiology","JAK"
"876","03/22/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232322"", ""K232322"")","MAGNETOM Terra; MAGNETOM Terra.X","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"877","03/22/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K232431"", ""K232431"")","syngo.CT Brain Hemorrhage","Siemens Medical Solutions USA, Inc.","Radiology","QAS"
"878","03/22/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K240540"", ""K240540"")","uMR Omega","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","LNH"
"879","03/26/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233650"", ""K233650"")","SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"880","03/28/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233409"", ""K233409"")","Eko Low Ejection Fraction Tool (ELEFT)","Eko Health, Inc.","Cardiovascular","QXO"
"881","03/28/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233657"", ""K233657"")","NAEOTOM Alpha","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"882","03/29/2024","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233211"", ""K233211"")","AVIEW CAC","Coreline Soft Co., Ltd.","Radiology","QIH"
